item_id;name;category;price;old_price;sellable_online;link;other_colors;short_description;designer;depth;height;width;price_usd;category_total
40407922;BRIMNES;Wardrobes (236);645,0;No old price;TRUE;https://www.ikea.com/sa/en/p/brimnes-wardrobe-with-3-doors-white-40407922/;No;Wardrobe with 3 doors, 117x190 cm;K Hagberg/M Hagberg;50;190;117;174,150;236
80437234;KLEPPSTAD;Wardrobes (236);349,0;No old price;TRUE;https://www.ikea.com/sa/en/p/kleppstad-wardrobe-with-2-doors-white-80437234/;No;Wardrobe with 2 doors, 79x176 cm;IKEA of Sweden;55;176;79;94,230;236
69304909;PLATSA;Wardrobes (236);2740,0;SR 3,425;TRUE;https://www.ikea.com/sa/en/p/platsa-wardrobe-with-7-doors-3-drawers-white-sannidal-ridabu-s69304909/;No;Wardrobe with 7 doors+3 drawers, 240x57x221 cm;IKEA of Sweden;57;221;240;739,800;236
80331973;VUKU;Wardrobes (236);49,0;No old price;TRUE;https://www.ikea.com/sa/en/p/vuku-wardrobe-white-80331973/;No;Wardrobe, 74x51x149 cm;J Karlsson/W Chong;51;149;74;13,230;236
49246468;PAX;Wardrobes (236);1510,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-white-s49246468/;Yes;Wardrobe, 150x60x201 cm;Ehlén Johansson/IKEA of Sweden;60;201;150;407,700;236
40400478;BRIMNES;Wardrobes (236);475,0;No old price;TRUE;https://www.ikea.com/sa/en/p/brimnes-wardrobe-with-2-doors-white-40400478/;No;Wardrobe with 2 doors, 78x190 cm;K Hagberg/M Hagberg;50;190;78;128,250;236
69128567;PAX;Wardrobes (236);1280,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-s69128567/;Yes;Wardrobe, 175x58x201 cm;IKEA of Sweden/Ehlén Johansson;58;201;175;345,600;236
79128821;PAX;Wardrobes (236);2805,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-bergsbo-frosted-glass-s79128821/;Yes;Wardrobe, 200x60x201 cm;IKEA of Sweden/K Hagberg/M Hagberg/Ehlén Johansson;60;201;200;757,350;236
39252756;STUVA / FRITIDS;Wardrobes (236);425,0;No old price;TRUE;https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s39252756/;Yes;Wardrobe, 60x50x128 cm;IKEA of Sweden/Ebba Strandmark;50;128;60;114,750;236
50422494;GODISHUS;Wardrobes (236);395,0;No old price;TRUE;https://www.ikea.com/sa/en/p/godishus-wardrobe-white-50422494/;No;Wardrobe, 60x51x178 cm;504.224.94 You can position the shelf and clothes rail in two different ways – clothes rail at the top and shelf down below, or both together at the top of the wardrobe.Deep enough to hold standard-sized adult hangers.With the included colourful stickers, you can quickly label the doors in your own personal way.You can also write with chalk on the sticker to keep track of where you have your things.WARNING! TIPPING HAZARD – Unanchored furniture can tip over. This furniture shall be anchored to the wall with the enclosed safety fitting to prevent it from tipping over.Different wall materials require different types of fixing devices. Use fixing devices suitable for the walls in your home, sold separately.;51;178;60;106,650;236
79180593;PAX;Wardrobes (236);1590,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hasvik-white-s79180593/;Yes;Wardrobe, 200x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;200;429,300;236
29128357;PAX;Wardrobes (236);2770,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-s29128357/;Yes;Wardrobe, 300x58x201 cm;IKEA of Sweden/Ehlén Johansson;58;201;300;747,900;236
60375133;SONGESAND;Wardrobes (236);795,0;No old price;TRUE;https://www.ikea.com/sa/en/p/songesand-wardrobe-brown-60375133/;No;Wardrobe, 120x60x191 cm;IKEA of Sweden;60;191;120;214,650;236
79305734;PAX;Wardrobes (236);1870,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-auli-mirror-glass-s79305734/;No;Wardrobe, 150x44x236 cm;IKEA of Sweden/Ehlén Johansson;44;236;150;504,900;236
49025589;PAX;Wardrobes (236);1060,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-white-s49025589/;Yes;Wardrobe, 150x60x201 cm;Ehlén Johansson/IKEA of Sweden;60;201;150;286,200;236
79252108;PLATSA;Wardrobes (236);2620,0;SR 3,275;TRUE;https://www.ikea.com/sa/en/p/platsa-wardrobe-white-sannidal-ridabu-s79252108/;No;Wardrobe, 220x57x231 cm;IKEA of Sweden/Ola Wihlborg;57;231;220;707,400;236
